"","from","to","value","pairs"
"1","Acinar","Acinar",0,NA
"2","T-cell","Acinar",0,""
"3","B-cell","Acinar",0,""
"4","ID","Acinar",0,""
"5","Fibroblasts","Acinar",0,""
"6","Macrophages","Acinar",0,""
"7","NK cell","Acinar",0,""
"8","Basal duct","Acinar",0,""
"9","Endothelial","Acinar",0,""
"10","Ionocytes","Acinar",0,""
"11","Plasma cells","Acinar",0,NA
"12","Monocytes","Acinar",0,""
"13","Myoepithelial","Acinar",0,""
"14","Pericytes","Acinar",0,""
"15","Neutrophils","Acinar",0,NA
"16","SD","Acinar",0,""
"17","Proliferative","Acinar",0,NA
"18","Lymphatic","Acinar",0,""
"19","Acinar","T-cell",0,NA
"20","T-cell","T-cell",0,""
"21","B-cell","T-cell",0,""
"22","ID","T-cell",0,""
"23","Fibroblasts","T-cell",0,""
"24","Macrophages","T-cell",0,""
"25","NK cell","T-cell",0,""
"26","Basal duct","T-cell",0,""
"27","Endothelial","T-cell",0,""
"28","Ionocytes","T-cell",0,""
"29","Plasma cells","T-cell",0,NA
"30","Monocytes","T-cell",0,""
"31","Myoepithelial","T-cell",0,""
"32","Pericytes","T-cell",0,""
"33","Neutrophils","T-cell",0,NA
"34","SD","T-cell",0,""
"35","Proliferative","T-cell",0,NA
"36","Lymphatic","T-cell",0,""
"37","Acinar","B-cell",0,NA
"38","T-cell","B-cell",0,""
"39","B-cell","B-cell",0,""
"40","ID","B-cell",1,"CX3CL1_CX3CR1"
"41","Fibroblasts","B-cell",0,""
"42","Macrophages","B-cell",0,""
"43","NK cell","B-cell",0,""
"44","Basal duct","B-cell",0,""
"45","Endothelial","B-cell",1,"CX3CL1_CX3CR1"
"46","Ionocytes","B-cell",1,"CX3CL1_CX3CR1"
"47","Plasma cells","B-cell",0,NA
"48","Monocytes","B-cell",0,""
"49","Myoepithelial","B-cell",0,""
"50","Pericytes","B-cell",0,""
"51","Neutrophils","B-cell",0,NA
"52","SD","B-cell",1,"CX3CL1_CX3CR1"
"53","Proliferative","B-cell",0,NA
"54","Lymphatic","B-cell",0,""
"55","Acinar","ID",0,NA
"56","T-cell","ID",0,""
"57","B-cell","ID",0,""
"58","ID","ID",0,""
"59","Fibroblasts","ID",1,"FGF10_FGFR2"
"60","Macrophages","ID",0,""
"61","NK cell","ID",0,""
"62","Basal duct","ID",0,""
"63","Endothelial","ID",0,""
"64","Ionocytes","ID",0,""
"65","Plasma cells","ID",0,NA
"66","Monocytes","ID",0,""
"67","Myoepithelial","ID",0,""
"68","Pericytes","ID",0,""
"69","Neutrophils","ID",0,NA
"70","SD","ID",0,""
"71","Proliferative","ID",0,NA
"72","Lymphatic","ID",0,""
"73","Acinar","Fibroblasts",0,NA
"74","T-cell","Fibroblasts",0,""
"75","B-cell","Fibroblasts",0,""
"76","ID","Fibroblasts",0,""
"77","Fibroblasts","Fibroblasts",5,"PGF_NRP1, JAG1_NOTCH2, FGF7_FGFR1, FGF2_FGFR1, FGF10_FGFR1"
"78","Macrophages","Fibroblasts",0,""
"79","NK cell","Fibroblasts",1,"NCAM1_FGFR1"
"80","Basal duct","Fibroblasts",2,"JAG2_NOTCH2, JAG1_NOTCH2"
"81","Endothelial","Fibroblasts",4,"PGF_NRP1, JAG2_NOTCH2, JAG1_NOTCH2, FGF2_FGFR1"
"82","Ionocytes","Fibroblasts",0,""
"83","Plasma cells","Fibroblasts",0,NA
"84","Monocytes","Fibroblasts",0,""
"85","Myoepithelial","Fibroblasts",2,"PGF_NRP1, JAG2_NOTCH2"
"86","Pericytes","Fibroblasts",4,"PGF_NRP1, NTF3_NTRK2, JAG1_NOTCH2, FGF7_FGFR1"
"87","Neutrophils","Fibroblasts",0,NA
"88","SD","Fibroblasts",0,""
"89","Proliferative","Fibroblasts",0,NA
"90","Lymphatic","Fibroblasts",1,"JAG1_NOTCH2"
"91","Acinar","Macrophages",0,NA
"92","T-cell","Macrophages",0,""
"93","B-cell","Macrophages",0,""
"94","ID","Macrophages",0,""
"95","Fibroblasts","Macrophages",3,"PGF_NRP2, PGF_NRP1, JAG1_NOTCH2"
"96","Macrophages","Macrophages",0,""
"97","NK cell","Macrophages",0,""
"98","Basal duct","Macrophages",2,"JAG2_NOTCH2, JAG1_NOTCH2"
"99","Endothelial","Macrophages",4,"PGF_NRP2, PGF_NRP1, JAG2_NOTCH2, JAG1_NOTCH2"
"100","Ionocytes","Macrophages",0,""
"101","Plasma cells","Macrophages",0,NA
"102","Monocytes","Macrophages",0,""
"103","Myoepithelial","Macrophages",3,"PGF_NRP2, PGF_NRP1, JAG2_NOTCH2"
"104","Pericytes","Macrophages",3,"PGF_NRP2, PGF_NRP1, JAG1_NOTCH2"
"105","Neutrophils","Macrophages",0,NA
"106","SD","Macrophages",0,""
"107","Proliferative","Macrophages",0,NA
"108","Lymphatic","Macrophages",1,"JAG1_NOTCH2"
"109","Acinar","NK cell",0,NA
"110","T-cell","NK cell",0,""
"111","B-cell","NK cell",0,""
"112","ID","NK cell",1,"CX3CL1_CX3CR1"
"113","Fibroblasts","NK cell",0,""
"114","Macrophages","NK cell",0,""
"115","NK cell","NK cell",0,""
"116","Basal duct","NK cell",0,""
"117","Endothelial","NK cell",1,"CX3CL1_CX3CR1"
"118","Ionocytes","NK cell",1,"CX3CL1_CX3CR1"
"119","Plasma cells","NK cell",0,NA
"120","Monocytes","NK cell",0,""
"121","Myoepithelial","NK cell",0,""
"122","Pericytes","NK cell",0,""
"123","Neutrophils","NK cell",0,NA
"124","SD","NK cell",1,"CX3CL1_CX3CR1"
"125","Proliferative","NK cell",0,NA
"126","Lymphatic","NK cell",0,""
"127","Acinar","Basal duct",0,NA
"128","T-cell","Basal duct",0,""
"129","B-cell","Basal duct",0,""
"130","ID","Basal duct",2,"RTN4_NGFR, APP_NGFR"
"131","Fibroblasts","Basal duct",4,"RTN4_NGFR, FGF10_FGFR3, FGF10_FGFR2, APP_NGFR"
"132","Macrophages","Basal duct",1,"RTN4_NGFR"
"133","NK cell","Basal duct",0,""
"134","Basal duct","Basal duct",2,"RTN4_NGFR, APP_NGFR"
"135","Endothelial","Basal duct",2,"RTN4_NGFR, APP_NGFR"
"136","Ionocytes","Basal duct",1,"APP_NGFR"
"137","Plasma cells","Basal duct",0,NA
"138","Monocytes","Basal duct",1,"RTN4_NGFR"
"139","Myoepithelial","Basal duct",0,""
"140","Pericytes","Basal duct",3,"RTN4_NGFR, NTF3_NGFR, APP_NGFR"
"141","Neutrophils","Basal duct",0,NA
"142","SD","Basal duct",0,""
"143","Proliferative","Basal duct",0,NA
"144","Lymphatic","Basal duct",3,"RTN4_NGFR, NTS_NGFR, APP_NGFR"
"145","Acinar","Endothelial",0,NA
"146","T-cell","Endothelial",1,"UBA52_NOTCH1"
"147","B-cell","Endothelial",2,"UBA52_NOTCH1, ADAM17_NOTCH1"
"148","ID","Endothelial",0,""
"149","Fibroblasts","Endothelial",7,"PGF_NRP2, PGF_NRP1, PGF_FLT1, MFAP5_NOTCH1, MFAP2_NOTCH1, JAG1_NOTCH1, JAG1_NOTCH4"
"150","Macrophages","Endothelial",2,"PSEN1_NOTCH1, ADAM17_NOTCH1"
"151","NK cell","Endothelial",1,"MFNG_NOTCH1"
"152","Basal duct","Endothelial",6,"JAG2_NOTCH1, JAG2_NOTCH4, JAG1_NOTCH1, JAG1_NOTCH4, DLL1_NOTCH1, DLK2_NOTCH1"
"153","Endothelial","Endothelial",10,"PGF_NRP2, PGF_NRP1, PGF_FLT1, MFNG_NOTCH1, JAG2_NOTCH1, JAG2_NOTCH4, JAG1_NOTCH1, JAG1_NOTCH4, DLL4_NOTCH1, DLL1_NOTCH1"
"154","Ionocytes","Endothelial",0,""
"155","Plasma cells","Endothelial",0,NA
"156","Monocytes","Endothelial",4,"UBA52_NOTCH1, PSEN1_NOTCH1, MFNG_NOTCH1, ADAM17_NOTCH1"
"157","Myoepithelial","Endothelial",7,"PGF_NRP2, PGF_NRP1, PGF_FLT1, JAG2_NOTCH1, JAG2_NOTCH4, DLK2_NOTCH1, DLK1_NOTCH1"
"158","Pericytes","Endothelial",5,"PGF_NRP2, PGF_NRP1, PGF_FLT1, JAG1_NOTCH1, JAG1_NOTCH4"
"159","Neutrophils","Endothelial",0,NA
"160","SD","Endothelial",0,""
"161","Proliferative","Endothelial",0,NA
"162","Lymphatic","Endothelial",5,"MFAP2_NOTCH1, JAG1_NOTCH1, JAG1_NOTCH4, DLL4_NOTCH1, DLL1_NOTCH1"
"163","Acinar","Ionocytes",0,NA
