"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRB4",0,2.42082725255877,0.998,0.679,0,"0","PRB4"
"PRB3",0,2.40542538105807,1,0.695,0,"0","PRB3"
"HTN3",0,2.22370251068519,1,0.699,0,"0","HTN3"
"PRB1",0,2.14775373754814,1,0.682,0,"0","PRB1"
"HTN1",0,2.13668372736619,1,0.703,0,"0","HTN1"
"SMR3B",0,2.09348622535753,1,0.692,0,"0","SMR3B"
"PRR4",0,2.03342853468621,0.984,0.585,0,"0","PRR4"
"PRH1",0,2.01889260595581,1,0.708,0,"0","PRH1"
"PRH2",0,2.00181932186361,1,0.693,0,"0","PRH2"
"AC006518.7",0,1.97167007072748,0.994,0.582,0,"0","AC006518.7"
"CA6",0,1.93908542010914,1,0.683,0,"0","CA6"
"PRB2",0,1.84024208797862,0.999,0.684,0,"0","PRB2"
"STATH",0,1.74696143344702,1,0.914,0,"0","STATH"
"BPIFA2",0,1.52112196691812,0.994,0.669,0,"0","BPIFA2"
"PIP",0,1.39787151822712,0.999,0.845,0,"0","PIP"
"ZG16B",3.18115035570326e-299,1.20855115134055,1,0.945,1.87274321440251e-294,"0","ZG16B"
"MGP",8.27171130704483e-257,0.654595434892374,0.999,0.815,4.86955644645729e-252,"0","MGP"
"AMY2B",2.34977854935633e-223,1.3999187488774,0.79,0.336,1.38331463200607e-218,"0","AMY2B"
"AQP5",4.74373107436387e-220,1.34336573403239,0.851,0.473,2.79263448347801e-215,"0","AQP5"
"AZGP1",2.64147749995314e-208,0.750265101177242,0.999,0.896,1.55503780422242e-203,"0","AZGP1"
"NUCB2",1.44868144446203e-207,1.14524209222604,0.893,0.641,8.52838766354797e-203,"0","NUCB2"
"SEC11C",3.24341722154076e-177,1.07152951634797,0.845,0.637,1.90939971832105e-172,"0","SEC11C"
"MUCL1",1.69324545859191e-174,1.25501759765508,0.629,0.264,9.96813601473055e-170,"0","MUCL1"
"NDRG2",4.34795297482033e-172,1.02189197019519,0.861,0.645,2.55963991627673e-167,"0","NDRG2"
"LPO",3.18916108779791e-165,1.02554444151299,0.853,0.491,1.87745913238663e-160,"0","LPO"
"GGTA1P",3.45262892260324e-145,1.14196690211539,0.662,0.348,2.03256264673653e-140,"0","GGTA1P"
"TMED3",3.28394636286911e-139,1.02500426642038,0.772,0.58,1.93325922382104e-134,"0","TMED3"
"CST5",5.40398987863265e-136,1.29541939391417,0.542,0.224,3.18132884155104e-131,"0","CST5"
"TESC",9.52758662263162e-116,1.02326522161924,0.662,0.373,5.60889024474323e-111,"0","TESC"
"PRR27",9.23169088759055e-114,0.880840835725631,0.712,0.427,5.43469642552456e-109,"0","PRR27"
"S100A1",2.95285523548805e-111,0.977206808072105,0.709,0.47,1.73834587713181e-106,"0","S100A1"
"CAMP",1.63026502910219e-108,1.10325152413591,0.52,0.236,9.59737022632458e-104,"0","CAMP"
"FAM3D",1.3074570160455e-102,0.91841840149524,0.673,0.437,7.69699945345984e-98,"0","FAM3D"
"CALML5",3.87933057174994e-98,0.841471258937643,0.691,0.427,2.28376190758919e-93,"0","CALML5"
"DNASE2B",6.13152864481059e-89,0.924114184576859,0.421,0.174,3.60963091319999e-84,"0","DNASE2B"
"SLC13A5",1.42150152792707e-83,0.834658099055203,0.511,0.231,8.36837949490667e-79,"0","SLC13A5"
"P4HB",1.65707943726411e-76,0.650223705393736,0.833,0.756,9.75522664717382e-72,"0","P4HB"
"TPD52L1",5.08453173364519e-65,0.763682880817713,0.604,0.445,2.99326383159692e-60,"0","TPD52L1"
"NUPR1",2.10838187272345e-62,0.672042884071984,0.75,0.592,1.2412044084723e-57,"0","NUPR1"
"C5orf46",1.80372752736017e-59,0.768061244515876,0.53,0.362,1.06185439535693e-54,"0","C5orf46"
"TPT1",1.37688286012669e-57,0.308555851810547,1,0.993,8.1057093975658e-53,"0","TPT1"
"DNER",1.84942261767347e-56,0.697460600085648,0.427,0.232,1.08875509502437e-51,"0","DNER"
"PPDPF",6.02920236880045e-51,0.452543032360137,0.853,0.812,3.54939143451282e-46,"0","PPDPF"
