Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
MTA2	0.454	transcription regulator	 	 	 	0.0477	"CPA3,GPT,KIT,MDM2"	 
SFRP2	2.81	transmembrane receptor	 	 	 	0.0257	"MMP2,SNAI2"	 
NGFR	2.794	transmembrane receptor	 	-0.692	 	0.00539	"A2M,CCND1,GFAP,GRIN2B,NGFR,PLAT"	428 (18)
PHF1	-0.378	transcription regulator	 	1.982	bias	0.0477	"BAX,BBC3,MDM2,SFN"	 
NTRK2	2.522	kinase	Activated	2.132	bias	0.0184	"ABCB1,ABCG2,BMP2,CCND1,CCND2,FGF2,JAG1,POMC,PYCARD"	 
TFAP2C	1.711	transcription regulator	 	-1.195	 	0.0467	"F2R,FOXA1,JAG1,MMP14,MMP2,MT1F,NRP1,TACC1"	 
LEP	2.443	growth factor	 	1.32	 	0.00715	"AKR1C1/AKR1C2,BAX,CA3,CAV1,CCND1,CEL,COL4A1,CTSV,CYP24A1,F3,FAS,FGFR1,GADD45A,GFAP,GNRHR,HGD,IGFBP2,IL1B,LEPR,MCHR1,MDM2,MMP14,MMP2,MMP7,MUC5B,NOTCH1,NPPC,NPR1,NPY1R,PCSK2,PGR,PLAT,PLP1,POMC,SELP,SPARC,TIMP3,WNT5A"	489 (21)
BMP7	2.18	growth factor	 	0.192	bias	0.00569	"ADORA1,ALDH1A2,BMP2,BMP7,CAV2,COL5A2,F3,GJA1,IGF2,IGFBP4,IGFBP6,IL1B,ITGA5,JAG1,LTF,MMP2,POMC,WNT5A"	393 (18)
GDF15	2.118	growth factor	 	-0.594	 	0.000469	"CCND1,GDF15,MT1E,RND3,SERPINB5,TIMP3"	280 (7)
NRG1	1.958	growth factor	Activated	3.231	bias	0.00282	"CAV1,CAVIN1,CAVIN2,CCND1,CCND2,DUSP4,ETV5,FGF1,FGF2,FSCN1,FSTL1,GPX3,GRIN2C,IGF2,ITGB3,L1CAM,NOTCH1,NRG1,PDE3A,PGR,PMP22,S100B,SH2D4A,SOX2,SOX4,TGM2"	462 (21)
