Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
GP6 Signaling Pathway	9.43	0.218	4.315	"CALML5,COL12A1,COL15A1,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A2,COL7A1,COL8A1,COL9A2,ITGB3,LAMA1,LAMA2,LAMA3,LAMB1,LAMB3,LAMC1,LAMC2,LAMC3,PIK3C2G"
Hepatic Fibrosis / Hepatic Stellate Cell Activation	8.05	0.167	#NUM!	"A2M,BAX,COL12A1,COL15A1,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A2,COL7A1,COL8A1,COL9A2,FAS,FGF1,FGF2,FGFR1,IGF2,IGFBP4,IL1B,LAMA1,LBP,LEPR,MMP2,NGFR,PGF,TIMP2"
Synaptogenesis Signaling Pathway	7.3	0.131	3.042	"ADCY3,ADCY5,APOE,CACNA2D1,CACNB1,CALML5,CAMK2B,CDH13,CDH15,CDH17,CDH19,CDH24,CDH3,COMP,DAB1,DLG4,EFNB3,EPHA3,EPHA7,EPHB3,FGR,GRIN2A,GRIN2B,GRIN2C,LRP1,MAPT,NLGN1,NLGN4X,NTRK2,PIK3C2G,PRKACB,RELN,SHC3,SNCG,STXBP6,SYN2,SYT11,SYT12,SYT8,THBS4,TIAM1"
Axonal Guidance Signaling	6.92	0.112	#NUM!	"ADAM22,ADAM23,ADAM33,ADAMTS15,ADAMTS19,ADAMTS2,ARHGEF6,BMP2,BMP7,CXCL12,DPYSL2,EFNB3,EPHA3,EPHA7,EPHB3,FES,FZD1,GLI1,GNA14,GNAO1,GNG2,ITGA2,ITGA3,ITGA5,L1CAM,LRRC4C,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,NGFR,NRP1,NRP2,NTN4,NTNG1,NTRK2,NTRK3,PAK6,PGF,PIK3C2G,PLCB4,PLCD3,PLCH2,PLXNB1,PRKACB,PTCH2,SEMA3C,SEMA6A,SLIT3,SMO,TUBA1A,WNT5A"
Sperm Motility	6.21	0.139	1.604	"BMX,CALML5,CNGA1,DDR2,EPHA3,EPHB3,FES,FGFR1,FGR,GUCY1A1,KIT,MAP2K6,MERTK,NPPC,NPR1,NTRK2,NTRK3,PDE2A,PDE4D,PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2,PRKACB,PTK7,ROR1,SLC12A2,TEC,TEK"
Osteoarthritis Pathway	5.75	0.137	1.225	"ACAN,ALPL,BMP2,CCN4,DCN,DDIT4,DDR2,FGF2,FGFR1,FRZB,FZD1,GLI1,H19,IL1B,ITGA2,ITGA3,ITGA5,JAG1,LRP1,NOTCH1,PGF,PRKAG3,PTCH2,PTH1R,RARRES2,SMO,SPHK1,TCF7L1,TIMP3"
p53 Signaling	5.56	0.184	1.604	"ADGRB1,BAX,BBC3,CCND1,CCND2,CHEK1,FAS,GADD45A,HDAC9,MDM2,PIK3C2G,SERPINB5,SFN,SNAI2,TNFRSF10A,TP53AIP1,TP63,TRIM29"
Breast Cancer Regulation by Stathmin1	5.54	0.0981	#NUM!	"ACKR1,ACKR4,ADGRA2,ADGRB1,ADGRB2,ADGRD2,ADGRG2,ADORA1,ADORA2B,ADORA3,ADRB1,ARHGEF6,BDKRB2,CAMK2B,CCND1,CCND2,CCR10,CMKLR1,CNR1,F2R,FGF2,FZD1,GNG2,GNRHR,GPR146,GPR153,GPR156,GPR173,GPR27,GPR34,GPR61,GPR87,GPRC5D,GPRC6A,HCAR2,HCRTR1,HRH1,HTR4,LGR5,MCHR1,MMP2,NMUR1,NPY1R,OXGR1,OXTR,PGF,PIK3C2G,PLCB4,PPP1R14C,PRKACB,PTH1R,RXFP4,SMO,SSTR2,TAS1R3,TSHR,TUBA1A,VN1R1"
Inhibition of Matrix Metalloproteases	5.5	0.282	-1	"A2M,LRP1,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,SDC1,TIMP2,TIMP3"
cAMP-mediated signaling	5.08	0.127	0.577	"ADCY3,ADCY5,ADORA1,ADORA2B,ADORA3,ADRB1,AKAP12,AKAP3,CALML5,CAMK2B,CNGA1,CNR1,DUSP4,DUSP9,GDPD1,GNAO1,HCAR2,HTR4,NPR3,NPY1R,PDE2A,PDE3A,PDE4D,PKIB,PRKACB,PTH1R,RAP1GAP,RAPGEF4,RXFP4"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	4.93	0.127	#NUM!	"ALPL,BMP2,BMP7,CALML5,CTSK,DKK2,DKK3,FRZB,FZD1,GSN,IL1B,ITGA2,ITGA3,ITGA5,ITGB3,LRP1,MAP2K6,MAPK10,MMP14,NGFR,PIK3C2G,SFRP1,SFRP2,SFRP4,SMO,TCF7L1,WIF1,WNT5A"
Endocannabinoid Neuronal Synapse Pathway	4.45	0.148	-0.229	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CNR1,GNA14,GNAO1,GNG2,GRIN2A,GRIN2B,GRIN2C,KCNJ5,MAPK10,PLCB4,PLCD3,PLCH2,PRKACB"
Adrenomedullin signaling pathway	4.45	0.127	1.633	"ADCY3,ADCY5,ADM,BAX,CALML5,CFH,GNA14,GUCY1A1,IL1B,KCNH2,MAP2K6,MAPK10,MMP2,NPR1,NPR3,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB,RAMP3,RXRG,SHC3,TFAP2C,TTN"
Coagulation System	4.25	0.257	-0.333	"A2M,BDKRB2,F2R,F3,F5,PLAT,SERPINA5,TFPI,VWF"
Complement System	4.04	0.243	0.707	"C1QA,C1QC,C1R,C1S,C7,CFB,CFH,CFI,MASP1"
