Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
SFRP2	3.485	transmembrane receptor	 	 	 	0.022	"MMP2,SNAI2"	 
PITX2	3.091	transcription regulator	 	1.348	bias	0.0128	"CACNA1G,CDH1,COL8A1,GATA2,IRF6,KCNJ11,KCNK2,KCTD1,NGFR,PITX2,SNAI1,TBX2,TFAP2B"	 
FOXI1	3.07	transcription regulator	 	 	 	0.022	"ATP6V1B1,SLC26A4"	 
GPR87	2.761	G-protein coupled receptor	 	 	 	0.0494	PROM1	 
BARX1	2.554	transcription regulator	 	 	 	0.0494	L1CAM	 
PTN	2.38	growth factor	Activated	2	bias	0.0052	"COMP,ITGB3,PTPRZ1,SOX9"	154 (7)
TFAP2C	2.163	transcription regulator	 	0.319	 	0.00369	"CDH1,CDKN1A,EGR3,JAG1,KRT81,MMP2,MMP9,NRP1,PITX2,SEMA3B"	342 (15)
SFRP4	2.151	transmembrane receptor	 	 	 	0.00667	"AXIN2,BIRC5,CDH1,FN1"	131 (7)
AGT	2.092	growth factor	Activated	3.679	bias	0.0000127	"ADAM23,ADGRE1,ADORA2B,AGT,ANXA1,BGN,CDH13,CDK1,CDKN1A,CGREF1,CIT,COL4A6,CP,CRABP2,CYP19A1,EDNRA,FGF7,FN1,HSPB1,IGFBP4,ITGA2,ITGA7,ITGB3,JAG1,KL,L1CAM,LEPR,MMP2,MMP9,NGF,NOX4,NPR3,PGF,POSTN,SCN2A,SCNN1A,SDC1,SERPINB2,SGCD,SOD3,SOX6,SPP1,TBX2,TGFB2,TGFB3,TTN"	367 (19)
MYOCD	2.01	transcription regulator	 	0.309	bias	0.00472	"CASQ2,CDKN1A,ECM2,FBXO32,FN1,GJC1,HEY2,PLA2G2A,SERPINB5,TTN,VCAN"	102 (5)
TP63	1.998	transcription regulator	Activated	3.667	bias	3.04E-11	"AGR2,BMP7,CA4,CCNA2,CCNB1,CDH1,CDH3,CDK1,CDKN1A,DKK3,ECM1,FGFR3,FN1,GPX2,GRHL2,HAS3,HTRA1,IGFBP2,IGFBP7,ITGA2,ITGA3,ITGA7,JAG1,JAG2,KRT6B,L1CAM,MFGE8,MIR155HG,MIR205HG,MPZL2,NALCN,NOTCH1,NT5E,P2RY2,PAX9,PI3,PKP1,POSTN,RGS13,RIN1,SERPINB2,SERPINB5,SERPINF1,SNAI1,SNAI2,SOX9,SPON1,ST8SIA6,SYT7,TGFB2,TGFB3,THBS2,THY1,TNFSF15,TP53AIP1,TP63,TP73,TRIM29,VDR,WFDC2"	420 (23)
TRIM29	1.997	transcription regulator	 	 	 	0.022	"CDKN1A,SNAI1"	 
NTRK2	1.953	kinase	 	-0.324	bias	0.0312	"CCNA2,CDH1,CDK1,CDKN1A,HEY2,JAG1,SNAP25,SPP1"	 
BMP7	1.953	growth factor	 	1.231	bias	0.000000123	"ADORA1,ALDH1A2,BIRC5,BMP7,CDH1,CDKN1A,COL5A2,CYP19A1,DLX5,DSP,EPCAM,FN1,IGF2,IGFBP4,JAG1,LTF,MMP2,MMP9,MST1R,NCAM1,PDGFRB,PRDM16,SMAD6,SOSTDC1,SPP1,TGFB3,VCAN"	320 (17)
GLP1R	1.947	G-protein coupled receptor	 	 	 	0.0433	"CALCB,CAMP"	 
NGFR	1.855	transmembrane receptor	 	1.947	bias	0.0000979	"A2M,CCNA2,IL1RL1,NCAM1,NGF,NGFR,PLAT,SNAP25"	322 (14)
CCN5	1.839	growth factor	 	-0.905	 	0.0000376	"AXIN2,CDH1,CLDN1,DSP,FN1,IGFBP7,LAMB3,LAMC2,SNAI2,SPARC,TFF3"	338 (20)
NTRK1	1.732	kinase	 	0.882	bias	0.00563	"CALCB,CDKN1A,DLG4,IGF2,MMP9"	383 (21)
ETV5	1.618	transcription regulator	 	-0.088	 	0.0000264	"AGRN,CDH1,CLDN1,CXCL12,ETV5,FN1,KRT19,LCN2,MMP2,NCAM2,NRCAM,PMP22,S100A14,SNAI2,SOAT1,SPP1"	241 (13)
KLF2	1.611	transcription regulator	 	0.211	 	0.00883	"CCR5,CDKN1A,CX3CR1,CYP1B1,ECM1,ELN,FBLN1,IGF2,IL1RL1,ITGB3,LBP,LEPR,NOTCH1,PGF,SLCO2A1,SOX9,TGFB2"	284 (7)
ALX4	1.602	transcription regulator	 	 	 	0.0494	NCAM1	 
TFAP2E	1.601	transcription regulator	 	 	 	0.0494	ITGA10	 
E2F7	1.566	transcription regulator	 	 	 	0.00838	"CCNA2,CCNB1,CDK1,CHEK1"	 
EGR2	1.512	transcription regulator	Activated	2.143	bias	0.0299	"CALCB,CDH6,CDKN1A,CYP19A1,EGR2,GRIN2A,ID4,IGF2,LAMA2,NCMAP,NOTCH1,PMP22,SLC12A2,TGFB3"	 
VDR	1.489	transcription regulator	 	1.3	 	0.0483	"AGR2,AGT,BMP7,CCNB1,CDH1,CDKN1A,CYP19A1,CYP24A1,DSG1,IFI44L,KL,KLK5,NGF,PHEX,SPP1,TGFB2,TP63,VDR"	 
NGF	1.481	growth factor	 	1.977	bias	1.17E-08	"A2M,AGRN,AXIN2,CALCB,CDH1,CDK1,CDKN1A,DLG4,DUSP4,EGLN3,EGR2,ELAVL4,ETV4,ETV5,GRIN2A,GUCY1A1,IGF2,ITGA2,MMP2,MMP9,NGFR,NTRK1,PLK2,PPP2R2B,RGS4,SCG2,SCN2A,SEMA6D,SNAP25,TFAP2A,TP73,TRPA1,TRPV4,VIP"	411 (21)
