Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Hepatic Fibrosis / Hepatic Stellate Cell Activation	11.4	0.188	#NUM!	"A2M,AGT,CCR5,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A5,COL4A6,COL5A2,COL6A3,COL7A1,COL8A1,COL9A2,CXCL9,EDNRA,FGF1,FGFR1,FN1,IGF2,IGFBP4,IL1RAPL1,IL1RL1,LAMA1,LBP,LEPR,MMP2,MMP9,NGFR,PDGFRB,PGF,TGFB2,TGFB3,TIMP2"
Osteoarthritis Pathway	6.44	0.137	1.4	"ACAN,ALPL,CCN4,DCN,DLX5,FGFR1,FGFR3,FN1,FRZB,FZD1,GLI2,GLI3,H19,HTRA1,IL1RAPL1,IL1RL1,ITGA2,ITGA3,JAG1,MMP12,MMP9,NOTCH1,PGF,PTH1R,SMAD6,SMAD9,SOX9,SPP1,TCF7L1"
Granulocyte Adhesion and Diapedesis	6.26	0.144	#NUM!	"CCL18,CCL20,CCL22,CCL28,CLDN1,CLDN10,CLDN11,CX3CL1,CXCL12,CXCL14,CXCL9,IL1RAPL1,IL1RL1,ITGA2,ITGA3,ITGB3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,NGFR,SDC1,SELP,THY1"
Axonal Guidance Signaling	6.08	0.101	#NUM!	"ADAM22,ADAM23,ADAM33,ADAMDEC1,ADAMTS15,ADAMTS3,ADAMTS8,ARHGEF15,BMP7,CXCL12,EFNB3,EPHA5,EPHB3,FZD1,GLI2,GLI3,GNA14,GNAO1,ITGA2,ITGA3,KCNJ12,L1CAM,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,NFATC4,NGF,NGFR,NRP1,NTRK1,NTRK2,PAK5,PAPPA,PAPPA2,PGF,PLCD3,PLCD4,PLCH2,PLXNB1,PRKACB,SEMA3B,SEMA3D,SEMA3E,SEMA6D,UNC5B,WNT7B"
Sperm Motility	4.98	0.121	2.673	"BMX,CACNA1G,EPHA5,EPHB3,FGFR1,FGFR3,GUCY1A1,KIT,MST1R,NTRK1,NTRK2,PDE1B,PDE4C,PDGFRB,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3,PRKACB,PTK7,ROR1,ROR2,SLC12A2"
Inhibition of Matrix Metalloproteases	4.94	0.256	-0.333	"A2M,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,SDC1,THBS2,TIMP2"
GP6 Signaling Pathway	4.81	0.151	4.243	"COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A5,COL4A6,COL5A2,COL6A3,COL7A1,COL8A1,COL9A2,ITGB3,LAMA1,LAMA2,LAMB3,LAMC2,LAMC3"
Wnt/_-catenin Signaling	4.5	0.127	-1.342	"ACVR1C,AXIN2,CDH1,CDH3,DKK2,DKK3,FRZB,FZD1,GNAO1,MMP7,PPP2R2B,SFRP1,SFRP2,SFRP4,SFRP5,SOX11,SOX6,SOX9,TCF7L1,TGFB2,TGFB3,WNT7B"
Synaptogenesis Signaling Pathway	4.3	0.103	4.131	"CACNB1,CAMK2B,CDH1,CDH11,CDH13,CDH15,CDH19,CDH24,CDH3,CDH6,CDH8,COMP,DLG4,EFNB3,EPHA5,EPHB3,GRIN2A,GRIN2C,NECTIN1,NLGN1,NLGN2,NLGN4X,NRXN1,NRXN2,NTRK2,PRKACB,SNAP25,SYT14,SYT7,SYT8,THBS2,THBS4"
Agranulocyte Adhesion and Diapedesis	3.79	0.114	#NUM!	"AOC3,CCL18,CCL20,CCL22,CCL28,CLDN1,CLDN10,CLDN11,CX3CL1,CXCL12,CXCL14,CXCL9,FN1,ITGA2,ITGA3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,SELP"
