sample	gland	treatment	condition
s03_SMG	SMG	CTRL	SMG_CTRL
s04_SMG	SMG	CTRL	SMG_CTRL
s07_SMG	SMG	CTRL	SMG_CTRL
s09_SMG	SMG	CTRL	SMG_CTRL
s12_SMG	SMG	CTRL	SMG_CTRL
s14_SMG	SMG	CTRL	SMG_CTRL
s15_SMG	SMG	CTRL	SMG_CTRL
s17_SMG	SMG	CTRL	SMG_CTRL
s23_SMG	SMG	CTRL	SMG_CTRL
s01_SMG_IR	SMG	IR	SMG_IR
s02_SMG_IR	SMG	IR	SMG_IR
s21_SMG_IR	SMG	IR	SMG_IR
s27_SMG_IR	SMG	IR	SMG_IR
s30_SMG_IR	SMG	IR	SMG_IR
s31_SMG_IR	SMG	IR	SMG_IR
s03_PAR	PAR	CTRL	PAR_CTRL
s04_PAR	PAR	CTRL	PAR_CTRL
s06_PAR	PAR	CTRL	PAR_CTRL
s08_PAR	PAR	CTRL	PAR_CTRL
s16_PAR	PAR	CTRL	PAR_CTRL
s20_PAR	PAR	CTRL	PAR_CTRL
s25_PAR	PAR	CTRL	PAR_CTRL
s26_PAR	PAR	CTRL	PAR_CTRL
s22_PAR_IR	PAR	IR	PAR_IR
s35_PAR_IR	PAR	IR	PAR_IR
s37_PAR_IR	PAR	IR	PAR_IR
s38_PAR_IR	PAR	IR	PAR_IR
s39_PAR_IR	PAR	IR	PAR_IR
