"Ingenuity.Canonical.Pathways"	"pVal.x"	"Ratio.x"	"z.score.x"	"Molecules.x"	"pVal.y"	"Ratio.y"	"z.score.y"	"Molecules.y"	"score"
"Hepatic Fibrosis / Hepatic Stellate Cell Activation"	11.4	0.188	"#NUM!"	"A2M,AGT,CCR5,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A5,COL4A6,COL5A2,COL6A3,COL7A1,COL8A1,COL9A2,CXCL9,EDNRA,FGF1,FGFR1,FN1,IGF2,IGFBP4,IL1RAPL1,IL1RL1,LAMA1,LBP,LEPR,MMP2,MMP9,NGFR,PDGFRB,PGF,TGFB2,TGFB3,TIMP2"	8.05	0.167	"#NUM!"	"A2M,BAX,COL12A1,COL15A1,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A2,COL7A1,COL8A1,COL9A2,FAS,FGF1,FGF2,FGFR1,IGF2,IGFBP4,IL1B,LAMA1,LBP,LEPR,MMP2,NGFR,PGF,TIMP2"	19.45
"GP6 Signaling Pathway"	4.81	0.151	"4.243"	"COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A5,COL4A6,COL5A2,COL6A3,COL7A1,COL8A1,COL9A2,ITGB3,LAMA1,LAMA2,LAMB3,LAMC2,LAMC3"	9.43	0.218	"4.315"	"CALML5,COL12A1,COL15A1,COL16A1,COL17A1,COL18A1,COL20A1,COL23A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A2,COL7A1,COL8A1,COL9A2,ITGB3,LAMA1,LAMA2,LAMA3,LAMB1,LAMB3,LAMC1,LAMC2,LAMC3,PIK3C2G"	14.24
"Axonal Guidance Signaling"	6.08	0.101	"#NUM!"	"ADAM22,ADAM23,ADAM33,ADAMDEC1,ADAMTS15,ADAMTS3,ADAMTS8,ARHGEF15,BMP7,CXCL12,EFNB3,EPHA5,EPHB3,FZD1,GLI2,GLI3,GNA14,GNAO1,ITGA2,ITGA3,KCNJ12,L1CAM,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,NFATC4,NGF,NGFR,NRP1,NTRK1,NTRK2,PAK5,PAPPA,PAPPA2,PGF,PLCD3,PLCD4,PLCH2,PLXNB1,PRKACB,SEMA3B,SEMA3D,SEMA3E,SEMA6D,UNC5B,WNT7B"	6.92	0.112	"#NUM!"	"ADAM22,ADAM23,ADAM33,ADAMTS15,ADAMTS19,ADAMTS2,ARHGEF6,BMP2,BMP7,CXCL12,DPYSL2,EFNB3,EPHA3,EPHA7,EPHB3,FES,FZD1,GLI1,GNA14,GNAO1,GNG2,ITGA2,ITGA3,ITGA5,L1CAM,LRRC4C,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,NGFR,NRP1,NRP2,NTN4,NTNG1,NTRK2,NTRK3,PAK6,PGF,PIK3C2G,PLCB4,PLCD3,PLCH2,PLXNB1,PRKACB,PTCH2,SEMA3C,SEMA6A,SLIT3,SMO,TUBA1A,WNT5A"	13
"Osteoarthritis Pathway"	6.44	0.137	"1.4"	"ACAN,ALPL,CCN4,DCN,DLX5,FGFR1,FGFR3,FN1,FRZB,FZD1,GLI2,GLI3,H19,HTRA1,IL1RAPL1,IL1RL1,ITGA2,ITGA3,JAG1,MMP12,MMP9,NOTCH1,PGF,PTH1R,SMAD6,SMAD9,SOX9,SPP1,TCF7L1"	5.75	0.137	"1.225"	"ACAN,ALPL,BMP2,CCN4,DCN,DDIT4,DDR2,FGF2,FGFR1,FRZB,FZD1,GLI1,H19,IL1B,ITGA2,ITGA3,ITGA5,JAG1,LRP1,NOTCH1,PGF,PRKAG3,PTCH2,PTH1R,RARRES2,SMO,SPHK1,TCF7L1,TIMP3"	12.19
"Synaptogenesis Signaling Pathway"	4.3	0.103	"4.131"	"CACNB1,CAMK2B,CDH1,CDH11,CDH13,CDH15,CDH19,CDH24,CDH3,CDH6,CDH8,COMP,DLG4,EFNB3,EPHA5,EPHB3,GRIN2A,GRIN2C,NECTIN1,NLGN1,NLGN2,NLGN4X,NRXN1,NRXN2,NTRK2,PRKACB,SNAP25,SYT14,SYT7,SYT8,THBS2,THBS4"	7.3	0.131	"3.042"	"ADCY3,ADCY5,APOE,CACNA2D1,CACNB1,CALML5,CAMK2B,CDH13,CDH15,CDH17,CDH19,CDH24,CDH3,COMP,DAB1,DLG4,EFNB3,EPHA3,EPHA7,EPHB3,FGR,GRIN2A,GRIN2B,GRIN2C,LRP1,MAPT,NLGN1,NLGN4X,NTRK2,PIK3C2G,PRKACB,RELN,SHC3,SNCG,STXBP6,SYN2,SYT11,SYT12,SYT8,THBS4,TIAM1"	11.6
"Sperm Motility"	4.98	0.121	"2.673"	"BMX,CACNA1G,EPHA5,EPHB3,FGFR1,FGFR3,GUCY1A1,KIT,MST1R,NTRK1,NTRK2,PDE1B,PDE4C,PDGFRB,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3,PRKACB,PTK7,ROR1,ROR2,SLC12A2"	6.21	0.139	"1.604"	"BMX,CALML5,CNGA1,DDR2,EPHA3,EPHB3,FES,FGFR1,FGR,GUCY1A1,KIT,MAP2K6,MERTK,NPPC,NPR1,NTRK2,NTRK3,PDE2A,PDE4D,PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2,PRKACB,PTK7,ROR1,SLC12A2,TEC,TEK"	11.19
"Inhibition of Matrix Metalloproteases"	4.94	0.256	"-0.333"	"A2M,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,SDC1,THBS2,TIMP2"	5.5	0.282	"-1"	"A2M,LRP1,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,SDC1,TIMP2,TIMP3"	10.44
"Granulocyte Adhesion and Diapedesis"	6.26	0.144	"#NUM!"	"CCL18,CCL20,CCL22,CCL28,CLDN1,CLDN10,CLDN11,CX3CL1,CXCL12,CXCL14,CXCL9,IL1RAPL1,IL1RL1,ITGA2,ITGA3,ITGB3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,NGFR,SDC1,SELP,THY1"	3.75	0.122	"#NUM!"	"CCL20,CCL28,CLDN11,CX3CL1,CXCL12,CXCL14,HRH1,IL1B,ITGA2,ITGA3,ITGA5,ITGB3,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,NGFR,SDC1,SDC3,SELP"	10.01
"Breast Cancer Regulation by Stathmin1"	3.26	0.0795	"#NUM!"	"ADGRA1,ADGRA2,ADGRB1,ADGRB2,ADGRD2,ADGRE1,ADGRF1,ADGRL3,ADORA1,ADORA2B,ADRB1,ARHGEF15,ARHGEF4,CAMK2B,CCR5,CDK1,CX3CR1,E2F7,EDNRA,F2RL2,FZD1,GLP1R,GPR153,GPR173,GPR26,GPR27,GPR37L1,GPR83,GPR87,GPRC6A,LGR5,MCHR1,MMP2,MMP9,OXGR1,OXTR,P2RY2,PGF,PPP1R14C,PPP2R2B,PRKACB,PTGIR,PTH1R,SLC52A1,SSTR2,TAS1R3,TGFB2"	5.54	0.0981	"#NUM!"	"ACKR1,ACKR4,ADGRA2,ADGRB1,ADGRB2,ADGRD2,ADGRG2,ADORA1,ADORA2B,ADORA3,ADRB1,ARHGEF6,BDKRB2,CAMK2B,CCND1,CCND2,CCR10,CMKLR1,CNR1,F2R,FGF2,FZD1,GNG2,GNRHR,GPR146,GPR153,GPR156,GPR173,GPR27,GPR34,GPR61,GPR87,GPRC5D,GPRC6A,HCAR2,HCRTR1,HRH1,HTR4,LGR5,MCHR1,MMP2,NMUR1,NPY1R,OXGR1,OXTR,PGF,PIK3C2G,PLCB4,PPP1R14C,PRKACB,PTH1R,RXFP4,SMO,SSTR2,TAS1R3,TSHR,TUBA1A,VN1R1"	8.8
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	3.38	0.105	"#NUM!"	"ALPL,BMP7,DKK2,DKK3,DLX5,FRZB,FZD1,IL1RAPL1,IL1RL1,ITGA2,ITGA3,ITGB3,NFATC4,NGFR,SFRP1,SFRP2,SFRP4,SFRP5,SMAD6,SMAD9,SPP1,TCF7L1,WNT7B"	4.93	0.127	"#NUM!"	"ALPL,BMP2,BMP7,CALML5,CTSK,DKK2,DKK3,FRZB,FZD1,GSN,IL1B,ITGA2,ITGA3,ITGA5,ITGB3,LRP1,MAP2K6,MAPK10,MMP14,NGFR,PIK3C2G,SFRP1,SFRP2,SFRP4,SMO,TCF7L1,WIF1,WNT5A"	8.31
