	logFC	logCPM	LR	PValue	FDR
BPIFA1	7.54417140919087	2.4759359487568	63.5925635746083	1.5300567759488e-15	3.04297691600697e-11
AL138828.1	-3.08663088160317	5.39975191319289	56.4629844804742	5.72663157544683e-14	5.69456243862433e-10
CAMP	3.99487837113503	1.13722470755604	51.8237973221082	6.07114966695842e-13	4.0247674858823e-09
RN7SL546P	-3.93019423722493	0.523808478010297	50.8026414135464	1.02136167971201e-12	5.07821027152814e-09
GSN	1.22590015058653	6.55521100854978	46.3429594632096	9.92635427218832e-12	3.94830667530563e-08
RN7SL665P	-3.60388727061112	2.01832652914949	45.8994314856726	1.24482076940501e-11	4.12616591032113e-08
NES	2.02707769803311	5.74954404515497	44.5460193064562	2.48448136353066e-11	7.05876647969969e-08
MYEOV	4.48350604388703	2.87828474775484	43.9563467811297	3.3578176351811e-11	8.3475346410602e-08
RN7SL767P	-2.70067545584976	3.48696049801672	39.9966383840093	2.54400293106626e-10	5.62168114367175e-07
RN7SL664P	-3.5316178651851	0.823918481803418	38.8085365953885	4.67478979850353e-10	9.29722195126382e-07
SUSD5	2.57240230038737	2.1925558172833	37.7817896385802	7.91168762439055e-10	1.43043312248981e-06
RN7SL38P	-4.19793338210503	0.190291530135924	36.6753801795821	1.39530522970905e-09	2.31248586737113e-06
RN7SL564P	-3.58718140574854	0.575010089865881	36.2201473872526	1.76239091502987e-09	2.69618696293185e-06
RN7SL116P	-2.90126876420848	0.594239285017778	35.7836884975975	2.20486181877104e-09	3.13216370369417e-06
SERPINA5	3.03668389129686	4.07280999165467	34.8311830566282	3.59567997995496e-09	4.71894888102731e-06
FOXI1	3.05955853044588	2.30153313266938	34.7254198530781	3.79641905151031e-09	4.71894888102731e-06
RN7SL838P	-2.76823738292052	1.50384815076619	34.5668373315798	4.11863527923602e-09	4.81831873137918e-06
FRZB	2.45945021276283	3.258463519311	33.7779702861701	6.17744463104024e-09	6.82538993456269e-06
