	logFC	logCPM	LR	PValue	FDR	gene
BPIFA1	8.2557924265505	2.4759359487568	49.2041935197461	2.30657080618731e-12	4.58730801934533e-08	BPIFA1
WNT5A	-2.64283731754601	7.31282569901545	47.3254364816333	6.01268821990719e-12	5.97901716587571e-08	WNT5A
GSN	1.51570357433794	6.55521100854978	41.8905169053321	9.65296611979139e-11	6.39927300634704e-07	GSN
NES	2.31817969446547	5.74954404515497	38.64947745968	5.07168337370512e-10	2.21419616917525e-06	NES
AL512361.1	-4.89003850245632	0.755247672548853	38.4677271444392	5.56666373988147e-10	2.21419616917525e-06	AL512361.1
AL138828.1	-3.26661441575432	5.39975191319289	36.998770935383	1.18203732193386e-09	3.91805970977009e-06	AL138828.1
SCML2	-2.46736966348384	3.93037447290212	36.2272975272924	1.75593664797854e-09	4.98886686499959e-06	SCML2
CACNA2D3	-3.28735323013187	3.39889771855866	35.1931696815209	2.98568893857416e-09	7.42242270129536e-06	CACNA2D3
FRZB	3.17464540976424	3.258463519311	34.1978217236216	4.97846487929529e-09	1.10013010577139e-05	FRZB
ADGRG2	-2.6030068122879	5.02167927071439	31.4067698346021	2.09250032319467e-08	4.16156464276955e-05	ADGRG2
RN7SL665P	-3.85219165738629	2.01832652914949	30.6351894623596	3.11394505181835e-08	5.63001265368757e-05	RN7SL665P
CAVIN1	1.4685084183906	7.71638919361134	29.9755216026424	4.37534941499315e-08	7.25141243044864e-05	CAVIN1
PTCH2	-2.90018161489741	5.21338576465343	29.1393072760444	6.73564572837681e-08	0.00010108832465774	PTCH2
MYEOV	4.33431179781973	2.87828474775484	29.0328763900907	7.11603250808707e-08	0.00010108832465774	MYEOV
RN7SL546P	-3.79244422334672	0.523808478010297	28.6135052849049	8.8363735641705e-08	0.000117158531629482	RN7SL546P
GLYATL2	3.60045062264597	3.62215018591399	27.9148146988959	1.26775388861488e-07	0.000157581808354829	GLYATL2
MDFI	2.79552674540231	3.04020865466287	27.5753292837364	1.51093692692553e-07	0.000171856872472495	MDFI
SUSD5	2.89070697992236	2.1925558172833	27.5192059525514	1.55542221666578e-07	0.000171856872472495	SUSD5
DDR2	1.44649634139752	6.61489285406461	27.3007739381963	1.74141695612095e-07	0.000179344058163017	DDR2
RN7SL116P	-3.16847198128382	0.594239285017778	27.2329988565399	1.80354040791449e-07	0.000179344058163017	RN7SL116P
RN7SL521P	-4.01874073584365	0.998453809335384	26.953501570423	2.08409245556032e-07	0.000197373479791351	RN7SL521P
RN7SL838P	-3.04618315526041	1.50384815076619	26.7401059896418	2.32740360682028e-07	0.000210397286056553	RN7SL838P
AL359649.1	-4.51078156918021	0.148495042241631	26.0247774585671	3.37063629992529e-07	0.000291457455360496	AL359649.1
TIMP3	1.36649948310617	8.76908332174654	25.8449895540664	3.69963799424836e-07	0.000305624186789439	TIMP3
RN7SL664P	-3.60350649641021	0.823918481803418	25.7722039082842	3.84181650730891e-07	0.000305624186789439	RN7SL664P
