	logFC	logCPM	LR	PValue	FDR	gene
RN7SL546P	-4.06794425110314	0.523808478010297	57.2985849227361	3.74424528868405e-14	7.44655503013484e-10	RN7SL546P
AL138828.1	-2.90664734745203	5.39975191319289	54.5794722473258	1.49286906932264e-13	1.14908966280351e-09	AL138828.1
CAMP	4.50722180085978	1.13722470755604	54.2859799479397	1.73334120495301e-13	1.14908966280351e-09	CAMP
SERPINA5	3.4227375270348	4.07280999165467	42.209933838927	8.19825215924609e-11	4.07617097357716e-07	SERPINA5
BPIFA1	6.83255039183125	2.4759359487568	40.5477781294168	1.91866588885171e-10	7.63168543949657e-07	BPIFA1
RN7SL665P	-3.35558288383596	2.01832652914949	39.8974314075322	2.67654948151732e-10	8.87186934806941e-07	RN7SL665P
MYEOV	4.63270028995432	2.87828474775484	39.0139851680403	4.20780394546109e-10	1.19549721239043e-06	MYEOV
AC097478.1	4.53817334353527	2.25048469482974	37.8057816379079	7.81498176704919e-10	1.88915592462392e-06	AC097478.1
HIST1H4C	-1.66250440672498	5.38725671384999	37.4806932072718	9.23223463391737e-10	1.88915592462392e-06	HIST1H4C
RN7SL2	-2.6564896692812	12.9820504674461	37.4251408446548	9.49897387682982e-10	1.88915592462392e-06	RN7SL2
RN7SL767P	-2.69625009521544	3.48696049801672	37.1747368531445	1.08003950953749e-09	1.95271143324378e-06	RN7SL767P
RN7SL507P	-3.68041424967231	1.30479968893829	36.784482511328	1.31936224043337e-09	2.18662301981157e-06	RN7SL507P
RN7SL381P	-2.83773192055429	2.85970479771802	36.4782803957726	1.54376922185652e-09	2.36172940648327e-06	RN7SL381P
RN7SL38P	-4.29841911393207	0.190291530135924	36.1520519126659	1.82506210113668e-09	2.5926310762433e-06	RN7SL38P
RN7SL752P	-4.1259776872427	1.06027322545744	35.5759631777112	2.45295737709954e-09	3.25229442105038e-06	RN7SL752P
FOXI1	3.0703362900738	2.30153313266938	33.2407729506455	8.14252005830271e-09	9.3779240121184e-06	FOXI1
PRSS12	1.84645171414789	4.06119560776402	33.1925249147224	8.34707940157937e-09	9.3779240121184e-06	PRSS12
PTPRN2	-2.12577320626217	3.05659362537238	33.1600482797145	8.4876625210243e-09	9.3779240121184e-06	PTPRN2
RN7SL664P	-3.45972923396	0.823918481803418	32.8498492069514	9.9558795517039e-09	1.04211859223309e-05	RN7SL664P
