"","Upstream.Regulator","Expr.Log.Ratio","Molecule.Type","Predicted.Activation.State","Activation.z.score","Flags","p.value.of.overlap","Target.Molecules.in.Dataset","Mechanistic.Network"
"1","SFRP2",3.485,"transmembrane receptor"," ",NA," ",0.022,"MMP2,SNAI2"," "
"7","TFAP2C",2.163,"transcription regulator"," ",0.319," ",0.00369,"CDH1,CDKN1A,EGR3,JAG1,KRT81,MMP2,MMP9,NRP1,PITX2,SEMA3B","342 (15)"
"11","TP63",1.998,"transcription regulator","Activated",3.667,"bias",3.04e-11,"AGR2,BMP7,CA4,CCNA2,CCNB1,CDH1,CDH3,CDK1,CDKN1A,DKK3,ECM1,FGFR3,FN1,GPX2,GRHL2,HAS3,HTRA1,IGFBP2,IGFBP7,ITGA2,ITGA3,ITGA7,JAG1,JAG2,KRT6B,L1CAM,MFGE8,MIR155HG,MIR205HG,MPZL2,NALCN,NOTCH1,NT5E,P2RY2,PAX9,PI3,PKP1,POSTN,RGS13,RIN1,SERPINB2,SERPINB5,SERPINF1,SNAI1,SNAI2,SOX9,SPON1,ST8SIA6,SYT7,TGFB2,TGFB3,THBS2,THY1,TNFSF15,TP53AIP1,TP63,TP73,TRIM29,VDR,WFDC2","420 (23)"
"13","NTRK2",1.953,"kinase"," ",-0.324,"bias",0.0312,"CCNA2,CDH1,CDK1,CDKN1A,HEY2,JAG1,SNAP25,SPP1"," "
"14","BMP7",1.953,"growth factor"," ",1.231,"bias",1.23e-07,"ADORA1,ALDH1A2,BIRC5,BMP7,CDH1,CDKN1A,COL5A2,CYP19A1,DLX5,DSP,EPCAM,FN1,IGF2,IGFBP4,JAG1,LTF,MMP2,MMP9,MST1R,NCAM1,PDGFRB,PRDM16,SMAD6,SOSTDC1,SPP1,TGFB3,VCAN","320 (17)"
"16","NGFR",1.855,"transmembrane receptor"," ",1.947,"bias",9.79e-05,"A2M,CCNA2,IL1RL1,NCAM1,NGF,NGFR,PLAT,SNAP25","322 (14)"
"19","ETV5",1.618,"transcription regulator"," ",-0.088," ",2.64e-05,"AGRN,CDH1,CLDN1,CXCL12,ETV5,FN1,KRT19,LCN2,MMP2,NCAM2,NRCAM,PMP22,S100A14,SNAI2,SOAT1,SPP1","241 (13)"
"28","ITGB3",1.404,"transmembrane receptor"," ",1.279," ",0.00801,"CDK1,FN1,ITGA3,ITGB3,MMP2,MMP9,SELP,SNAI2,SPARC","369 (22)"
"30","CX3CL1",1.374,"cytokine"," ",-0.485," ",1.22e-07,"ALDH1A2,APOD,ASPA,BMP7,CRABP2,CX3CL1,CXCL12,FABP7,HEY2,MFGE8,MMP2,MMP9,OLFM4,PLP1,POSTN,PROM1,SDK2,SELP,SERPINF1,SPP1,TFAP2C,TGFB2,TGFB3","370 (22)"
"33","IGF2",1.36,"growth factor"," ",0.307,"bias",3.44e-05,"BIRC5,CDK1,CDKN1A,CORO2B,CTSV,CYP1B1,EGR2,FABP7,FN1,H19,IGF2,IGFBP2,IGFBP4,MMP11,MMP12,MYBL2,NGF,OGN,PRDM16,SEZ6L2,SPP1,THBS2","377 (20)"
"38","SNAI2",1.298,"transcription regulator"," ",0.32," ",1.09e-09,"CDH1,CDKN1A,CLDN1,CXCL12,DSP,EGR2,EPCAM,FN1,ID4,ITGA3,L1CAM,MMP9,NES,SNAI2,SOX9,TP63,TWIST2,VDR","302 (18)"
"44","PGF",1.272,"growth factor"," ",-0.841,"bias",0.000141,"BIRC5,CCL20,CCL28,CDK1,DCN,DNM3OS,KIT,MMP9,NANOS1","271 (11)"
"52","JAG2",1.218,"growth factor","Activated",2.607,"bias",0.00269,"BMP7,CCL20,CXCL9,JAG1,MMP12,NOTCH1,SPP1","99 (6)"
"53","NOTCH1",1.21,"transcription regulator"," ",0.397," ",0.0035,"CDH1,CDKN1A,ESM1,FABP7,GATA2,GATD3A/GATD3B,GLI2,HEY2,IGFBP2,IGFBP4,JAG1,LOX,MCAM,MMP2,NGFR,NOTCH1,PDGFRB,SLC5A5,SNAI1,SPP1,TFF3,TGFB2,TGFB3,TP63","433 (23)"
"56","FGF1",1.16,"growth factor"," ",-0.338," ",3.61e-06,"ADGRE1,AXIN2,CCN4,CCN5,CDH1,CDH11,CDKN1A,CPXM1,DIO3,FGFR1,FZD1,MAB21L1,NOTCH1,POSTN,SLC7A2,SNAI2,SPP1,SSTR2,TGFB2,TGFB3","391 (24)"
"60","FGF10",1.151,"growth factor"," ",1.153,"bias",0.00531,"ANXA1,CYP19A1,CYP1B1,MMP9,SNAI1,SOX9,TACSTD2,TSPAN8","155 (8)"
"69","ETV4",1.101,"transcription regulator"," ",-0.108,"bias",0.000302,"CDH1,ETV4,FN1,KRT5,MMP7,MMP9,MUC4,SPP1","253 (7)"
"70","JAG1",1.097,"growth factor","Activated",2.365,"bias",9.85e-06,"CDKN1A,CYP19A1,GATA2,GLI2,HEY2,ITGB3,MMP9,PDGFRB,SNAI1,SNAI2,SPP1,TGFB3","392 (20)"
"74","FGFR1",1.056,"kinase"," ",-0.356,"bias",0.000862,"BIRC5,BMP7,CDKN1A,DCX,DDX25,FGF1,FGF10,FGF7,FGFR1,FGFR3,NOTCH1,PLP1,SPARC","398 (23)"
"472","NOSTRIN",-1.074,"transcription regulator","Inhibited",-2.438,"bias",1.68e-05,"COL18A1,FGF1,FN1,ITGB3,KIT,MMP2,MMP9,PGF,SELP","253 (7)"
