"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"1","A1BG-AS1",0.896269292512575,0.953592877850346,5.15442612380231,0.0231871967573671,0.231615755454805,13,9,10,11,14,6,8,22,17,7,34,35,28
"2","A2M",1.12739675490996,9.38931246987205,10.3691524330863,0.0012813836155689,0.0455815877032896,5206,3593,2941,3127,2980,3890,3298,5059,10272,2368,19877,25402,5330
"3","A2M-AS1",0.86799094087912,2.06389038316897,7.53056344625075,0.00606609327683091,0.110224133376042,34,20,13,22,12,39,13,31,67,19,57,78,39
"4","A2ML1",-1.42528693855093,2.24888524231325,2.75969149905324,0.0966668766841075,0.460702334889415,22,13,14,22,8,12,66,26,46,6,13,51,37
"5","A2MP1",0.542807394897823,1.06158416342709,1.92819599873463,0.164955946891486,0.574644223467834,20,7,6,10,9,11,8,15,29,7,32,45,24
"6","A4GALT",-0.388612850943377,3.83254278352017,1.1578401608383,0.281913922814653,0.69996305829436,146,103,124,189,89,272,190,135,112,83,166,209,134
"7","AAAS",-0.0183248301301719,5.45697417379868,0.00729746074182458,0.931923378541734,0.985074354213541,753,411,303,362,300,406,301,364,338,138,554,375,395
"8","AACS",-0.445923138946965,6.782679961616,2.66089408699209,0.102842911089249,0.473425914693803,1572,1077,888,1124,978,947,930,789,484,308,798,830,852
"9","AADAT",1.19511774943235,1.36129353681329,6.29947270687079,0.0120773891959532,0.162764412105641,27,16,15,8,15,11,2,22,43,6,61,82,19
"10","AAED1",0.482383929038425,3.73933909013916,3.14200784121411,0.0762998257586069,0.413781051046861,121,69,71,67,62,80,72,72,221,39,272,182,129
"11","AAGAB",0.0655768960743535,5.26535079935354,0.138901891441534,0.709375130251443,0.923967030613707,514,320,274,356,279,327,270,341,395,114,530,508,369
"12","AAK1",0.143025013039452,5.97094613570705,0.244302624804927,0.621115657805009,0.894789518072492,427,257,297,331,386,491,440,573,692,165,806,1832,547
"13","AAMDC",-0.406462891292232,2.78978978808659,2.25539891203699,0.133149140577881,0.525515004527268,75,61,52,59,67,52,59,59,68,24,46,85,39
"14","AAMP",-0.216455871394937,6.35586643333254,0.647718957710939,0.420929394103453,0.799086507194809,1283,654,636,720,561,798,612,657,561,199,859,599,652
"15","AANAT",-0.392313612160831,0.0665475956373801,0.44800225020758,0.503285183746798,0.841898875797486,12,0,5,1,0,8,7,6,10,0,9,10,10
"16","AAR2",-0.267066841262667,4.53167342289365,1.59989737635285,0.205917754603957,0.627079504941207,320,198,163,201,140,309,212,198,158,60,238,243,181
"17","AARD",1.82355606200522,1.96683222073562,9.4989572952212,0.00205588695765258,0.0596027402533446,61,31,27,26,36,17,14,29,58,11,157,104,50
"18","AARS",0.0182383056162566,6.56395072736962,0.00702406427639701,0.933207742965423,0.985482862137126,1190,719,670,627,545,1212,758,957,725,304,994,1108,722
"19","AARS2",0.0396604873956254,4.83822839161394,0.0273987866168124,0.868530153602429,0.968255036072836,490,200,212,271,166,267,144,228,238,83,405,337,263
"20","AARSD1",0.140633075989358,1.42125807526638,0.142461974066222,0.705845641104331,0.922947285314574,31,8,19,27,7,8,23,13,24,13,32,36,23
"21","AASDH",-0.0184311355823347,4.94944155862512,0.00916032041308767,0.923751245746854,0.983237097097108,426,277,260,291,189,270,238,278,295,100,415,351,284
"22","AASDHPPT",-0.364969194226773,5.58880989397983,2.61911806199395,0.105583109164894,0.479524292092126,829,495,333,470,270,582,428,410,342,120,569,493,366
"23","AASS",-0.175126151108929,5.57401474354593,0.448551575654744,0.503023591703294,0.84185337368597,653,344,256,350,319,302,236,271,404,132,636,556,419
"24","AATBC",1.10329824859837,2.22863988748934,8.85121250016255,0.00292894256617121,0.0731794092412225,41,22,24,24,9,19,33,36,67,20,120,100,61
"25","AATF",-0.572410191033185,5.03696909600172,5.52741710099285,0.018720721416944,0.207368021267781,536,334,258,279,201,266,269,226,242,92,290,323,184
"26","AATK",-0.0465567659125319,3.37756256345044,0.0106753940415629,0.917707575518021,0.98284158653217,100,23,98,96,43,33,115,35,70,28,102,161,94
"27","ABALON",0.0967971188185631,0.722909440508139,0.0518545389065164,0.819867097442035,0.955167090505068,16,11,11,10,3,14,16,11,17,6,15,18,11
"28","ABAT",0.148624693437232,3.81730191053043,0.354957811048852,0.551319961949335,0.866230834987245,151,116,86,121,107,135,99,122,108,67,236,263,140
"29","ABCA1",-0.278366971930675,7.25206253977308,0.57666667499976,0.447621851974831,0.815602692814974,1882,692,1258,765,473,865,501,883,1897,297,2208,3054,951
"30","ABCA10",0.822852012985965,6.22867853406398,7.16465845168818,0.0074353846566504,0.123024068262449,705,329,302,474,623,295,286,742,1531,325,1212,2775,736
"31","ABCA11P",-0.60540906410393,1.56040201327349,2.72779691298046,0.0986152336659164,0.465084127851019,33,14,21,31,28,24,18,19,17,5,30,62,30
"32","ABCA12",0.918822149072488,0.555062234640432,1.29652779544904,0.254848437060659,0.677325366332004,7,5,3,5,7,3,2,5,22,0,17,47,39
"33","ABCA13",2.71023867213794,1.94581135309417,6.93875236144572,0.00843479260327665,0.131569533563895,4,3,2,0,7,20,2,35,216,6,27,256,92
"34","ABCA17P",-0.143684344259976,0.703130845475025,0.0817367652149308,0.774957452777972,0.944367193691696,22,4,7,9,8,6,11,12,18,1,17,18,34
"35","ABCA2",0.444973488573943,5.35573759010363,2.47632597158788,0.115571940761737,0.499601794465346,462,206,321,293,227,277,206,279,423,156,743,1230,433
"36","ABCA3",0.070020040359259,5.12113197325914,0.0588951232229782,0.808250842608475,0.952870298932785,455,271,249,287,322,352,305,370,182,179,341,319,421
