"","Upstream.Regulator","Expr.Log.Ratio","Molecule.Type","Predicted.Activation.State","Activation.z.score","Flags","p.value.of.overlap","Target.Molecules.in.Dataset","Mechanistic.Network"
"1","SFRP2",3.485,"transmembrane receptor"," ",NA," ",0.022,"MMP2,SNAI2"," "
"2","PITX2",3.091,"transcription regulator"," ",1.348,"bias",0.0128,"CACNA1G,CDH1,COL8A1,GATA2,IRF6,KCNJ11,KCNK2,KCTD1,NGFR,PITX2,SNAI1,TBX2,TFAP2B"," "
"3","FOXI1",3.07,"transcription regulator"," ",NA," ",0.022,"ATP6V1B1,SLC26A4"," "
"4","GPR87",2.761,"G-protein coupled receptor"," ",NA," ",0.0494,"PROM1"," "
"5","BARX1",2.554,"transcription regulator"," ",NA," ",0.0494,"L1CAM"," "
"6","PTN",2.38,"growth factor","Activated",2,"bias",0.0052,"COMP,ITGB3,PTPRZ1,SOX9","154 (7)"
"7","TFAP2C",2.163,"transcription regulator"," ",0.319," ",0.00369,"CDH1,CDKN1A,EGR3,JAG1,KRT81,MMP2,MMP9,NRP1,PITX2,SEMA3B","342 (15)"
"8","SFRP4",2.151,"transmembrane receptor"," ",NA," ",0.00667,"AXIN2,BIRC5,CDH1,FN1","131 (7)"
"9","AGT",2.092,"growth factor","Activated",3.679,"bias",1.27e-05,"ADAM23,ADGRE1,ADORA2B,AGT,ANXA1,BGN,CDH13,CDK1,CDKN1A,CGREF1,CIT,COL4A6,CP,CRABP2,CYP19A1,EDNRA,FGF7,FN1,HSPB1,IGFBP4,ITGA2,ITGA7,ITGB3,JAG1,KL,L1CAM,LEPR,MMP2,MMP9,NGF,NOX4,NPR3,PGF,POSTN,SCN2A,SCNN1A,SDC1,SERPINB2,SGCD,SOD3,SOX6,SPP1,TBX2,TGFB2,TGFB3,TTN","367 (19)"
"10","MYOCD",2.01,"transcription regulator"," ",0.309,"bias",0.00472,"CASQ2,CDKN1A,ECM2,FBXO32,FN1,GJC1,HEY2,PLA2G2A,SERPINB5,TTN,VCAN","102 (5)"
"11","TP63",1.998,"transcription regulator","Activated",3.667,"bias",3.04e-11,"AGR2,BMP7,CA4,CCNA2,CCNB1,CDH1,CDH3,CDK1,CDKN1A,DKK3,ECM1,FGFR3,FN1,GPX2,GRHL2,HAS3,HTRA1,IGFBP2,IGFBP7,ITGA2,ITGA3,ITGA7,JAG1,JAG2,KRT6B,L1CAM,MFGE8,MIR155HG,MIR205HG,MPZL2,NALCN,NOTCH1,NT5E,P2RY2,PAX9,PI3,PKP1,POSTN,RGS13,RIN1,SERPINB2,SERPINB5,SERPINF1,SNAI1,SNAI2,SOX9,SPON1,ST8SIA6,SYT7,TGFB2,TGFB3,THBS2,THY1,TNFSF15,TP53AIP1,TP63,TP73,TRIM29,VDR,WFDC2","420 (23)"
"12","TRIM29",1.997,"transcription regulator"," ",NA," ",0.022,"CDKN1A,SNAI1"," "
"13","NTRK2",1.953,"kinase"," ",-0.324,"bias",0.0312,"CCNA2,CDH1,CDK1,CDKN1A,HEY2,JAG1,SNAP25,SPP1"," "
"14","BMP7",1.953,"growth factor"," ",1.231,"bias",1.23e-07,"ADORA1,ALDH1A2,BIRC5,BMP7,CDH1,CDKN1A,COL5A2,CYP19A1,DLX5,DSP,EPCAM,FN1,IGF2,IGFBP4,JAG1,LTF,MMP2,MMP9,MST1R,NCAM1,PDGFRB,PRDM16,SMAD6,SOSTDC1,SPP1,TGFB3,VCAN","320 (17)"
"15","GLP1R",1.947,"G-protein coupled receptor"," ",NA," ",0.0433,"CALCB,CAMP"," "
