"","logFC","logCPM","LR","PValue","FDR"
"WNT5A",-2.93482696584287,7.31282569901545,142.333886401448,8.22007475832501e-33,1.63480846793568e-28
"CGREF1",4.31373337576192,3.50753116305077,140.820221001241,1.761383727735e-32,1.75151997885968e-28
"SCML2",-2.83037977569133,3.93037447290212,131.021240050915,2.44971028351812e-30,1.62399460395361e-26
"TLX1",6.51547396976488,2.89529296652568,127.289033119158,1.60596063349757e-29,7.98483626974993e-26
"ERN2",4.48987110329298,3.03863988394762,122.916696906282,1.45428295199177e-28,5.78455586984246e-25
"ST6GALNAC1",4.57928813285009,4.07827377862289,118.071967118527,1.67209658562226e-27,5.54244281580925e-24
"PTCH2",-3.40350338729924,5.21338576465343,108.873821425037,1.72952610137337e-25,4.91383072915909e-22
"APCDD1L",3.96206293585556,3.68448337301465,104.635993607849,1.46766335873808e-24,3.64861110982286e-21
"NTM-AS1",-6.74945973435452,1.40351078054826,101.930881223036,5.74932207028289e-24,1.27047241481985e-20
"ABCC1",-3.44962762331423,6.13527898850434,95.2827547310491,1.65044659966416e-22,3.28240819741209e-19
"AC018563.1",-4.43923414026677,0.737750247297328,93.2453587442199,4.61971570369013e-22,7.98346769115961e-19
"PTPRN2",3.29743572908459,3.05659362537238,93.0605469908866,5.0718760921503e-22,7.98346769115961e-19
"TFF3",6.86458882410594,4.8412457391621,93.0041510053477,5.21847747310312e-22,7.98346769115961e-19
"FAM171B",-2.12158238080795,7.37092723400774,84.5486462128513,3.74876794252262e-20,5.32539263149213e-17
"GOLM1",2.29435251609398,5.7606699216288,84.2906737179284,4.27125279863733e-20,5.66311171061995e-17
"HGD",-4.44482996578789,2.82686705740553,83.6190257895957,5.99929014194009e-20,7.45711764643153e-17
"ADGRG2",-2.47631091090083,5.02167927071439,83.4533026411579,6.52389905293515e-20,7.63219437439849e-17
"SHC3",2.82223654729128,4.56591111616757,82.0636466430119,1.31774181925168e-19,1.45595829451541e-16
"PITX2",-6.6199251119154,0.181578690194035,81.0234606960155,2.23053855355113e-19,2.33478688173815e-16
"KCNJ15",-2.30269234080979,5.60631090227411,79.2847392798551,5.37734703306328e-19,5.34723388967813e-16
"PIK3C2G",-3.42867871285034,5.6379672619313,75.3573365889281,3.92786152874794e-18,3.71987190874947e-15
"TMEM200C",2.82446619216231,3.9632551929462,73.2489939800574,1.1428340787783e-17,1.03312200721558e-14
"ATP2C2",4.4407721757008,4.24816726190045,71.7589411384598,2.43159631119607e-17,2.10259075813337e-14
"CACNA2D3",-2.71347449686877,3.39889771855866,70.7413462157257,4.072670235685e-17,3.37488606863764e-14
"APCDD1L-DT",3.91866358972888,3.13173348849828,67.9516108740926,1.6755746718698e-16,1.33295316296586e-13
"CSN1S1",-4.99580636580218,0.94009418277334,66.8882372718039,2.87344332832576e-16,2.19796311206703e-13
"LINC01798",-2.24617991474004,2.90410805863017,64.185114644404,1.13261245939844e-15,8.34273947870966e-13
"GALNT7",1.81371533796055,5.53638473007779,61.5283730296794,4.36408894852292e-15,3.09975003600799e-12
"LRRC31",5.7399679276313,2.38482186386168,60.5405097508898,7.20797589426379e-15,4.94318015810753e-12
"GLYATL2",3.74902722976617,3.62215018591399,59.7009757672943,1.10421782465535e-14,7.32022803224855e-12
"LYPD1",-4.05363048305052,1.61582473181239,58.223838260327,2.3392723486638e-14,1.50075640226534e-11
"DACH1",-2.08109357051267,3.00130788594125,57.9610119140801,2.67364663420279e-14,1.66167138315703e-11
"PRB4",-11.5230119174196,11.6870786511968,56.1851263031783,6.59586216844659e-14,3.97510626685048e-11
"CTXN3",-5.79441399040714,-0.123011547330607,54.9937821921327,1.20911730816785e-13,7.07262500730655e-11
"CHST1",-2.87555594044732,3.24591990545092,54.7012886071169,1.40314259039906e-13,7.97305709653043e-11
"PRB2",-10.0299854670029,10.4626247970707,53.7909454394079,2.22998058686852e-13,1.23194038643448e-10
